"SubjectID" "ActivityName" "AverageOfBodyAcceleration-ThroughTime-Mean-X-axis" "AverageOfBodyAcceleration-ThroughTime-Mean-Y-axis" "AverageOfBodyAcceleration-ThroughTime-Mean-Z-axis" "AverageOfBodyAcceleration-ThroughTime-StandardDeviation-X-axis" "AverageOfBodyAcceleration-ThroughTime-StandardDeviation-Y-axis" "AverageOfBodyAcceleration-ThroughTime-StandardDeviation-Z-axis" "AverageOfGravityAcceleration-ThroughTime-Mean-X-axis" "AverageOfGravityAcceleration-ThroughTime-Mean-Y-axis" "AverageOfGravityAcceleration-ThroughTime-Mean-Z-axis" "AverageOfGravityAcceleration-ThroughTime-StandardDeviation-X-axis" "AverageOfGravityAcceleration-ThroughTime-StandardDeviation-Y-axis" "AverageOfGravityAcceleration-ThroughTime-StandardDeviation-Z-axis" "AverageOfBodyAcceleration-ThroughTime-JerkSignal-Mean-X-axis" "AverageOfBodyAcceleration-ThroughTime-JerkSignal-Mean-Y-axis" "AverageOfBodyAcceleration-ThroughTime-JerkSignal-Mean-Z-axis" "AverageOfBodyAcceleration-ThroughTime-JerkSignal-StandardDeviation-X-axis" "AverageOfBodyAcceleration-ThroughTime-JerkSignal-StandardDeviation-Y-axis" "AverageOfBodyAcceleration-ThroughTime-JerkSignal-StandardDeviation-Z-axis" "AverageOfBodyAngularVelocity-ThroughTime-Mean-X-axis" "AverageOfBodyAngularVelocity-ThroughTime-Mean-Y-axis" "AverageOfBodyAngularVelocity-ThroughTime-Mean-Z-axis" "AverageOfBodyAngularVelocity-ThroughTime-StandardDeviation-X-axis" "AverageOfBodyAngularVelocity-ThroughTime-StandardDeviation-Y-axis" "AverageOfBodyAngularVelocity-ThroughTime-StandardDeviation-Z-axis" "AverageOfBodyAngularVelocity-ThroughTime-JerkSignal-Mean-X-axis" "AverageOfBodyAngularVelocity-ThroughTime-JerkSignal-Mean-Y-axis" "AverageOfBodyAngularVelocity-ThroughTime-JerkSignal-Mean-Z-axis" "AverageOfBodyAngularVelocity-ThroughTime-JerkSignal-StandardDeviation-X-axis" "AverageOfBodyAngularVelocity-ThroughTime-JerkSignal-StandardDeviation-Y-axis" "AverageOfBodyAngularVelocity-ThroughTime-JerkSignal-StandardDeviation-Z-axis" "AverageOfBodyAcceleration-ThroughTime-Magnitude-Mean" "AverageOfBodyAcceleration-ThroughTime-Magnitude-StandardDeviation" "AverageOfGravityAcceleration-ThroughTime-Magnitude-Mean" "AverageOfGravityAcceleration-ThroughTime-Magnitude-StandardDeviation" "AverageOfBodyAcceleration-ThroughTime-JerkSignal-Magnitude-Mean" "AverageOfBodyAcceleration-ThroughTime-JerkSignal-Magnitude-StandardDeviation" "AverageOfBodyAngularVelocity-ThroughTime-Magnitude-Mean" "AverageOfBodyAngularVelocity-ThroughTime-Magnitude-StandardDeviation" "AverageOfBodyAngularVelocity-ThroughTime-JerkSignal-Magnitude-Mean" "AverageOfBodyAngularVelocity-ThroughTime-JerkSignal-Magnitude-StandardDeviation" "AverageOfBodyAcceleration-Frequency-Mean-X-axis" "AverageOfBodyAcceleration-Frequency-Mean-Y-axis" "AverageOfBodyAcceleration-Frequency-Mean-Z-axis" "AverageOfBodyAcceleration-Frequency-StandardDeviation-X-axis" "AverageOfBodyAcceleration-Frequency-StandardDeviation-Y-axis" "AverageOfBodyAcceleration-Frequency-StandardDeviation-Z-axis" "AverageOfBodyAcceleration-Frequency-JerkSignal-Mean-X-axis" "AverageOfBodyAcceleration-Frequency-JerkSignal-Mean-Y-axis" "AverageOfBodyAcceleration-Frequency-JerkSignal-Mean-Z-axis" "AverageOfBodyAcceleration-Frequency-JerkSignal-StandardDeviation-X-axis" "AverageOfBodyAcceleration-Frequency-JerkSignal-StandardDeviation-Y-axis" "AverageOfBodyAcceleration-Frequency-JerkSignal-StandardDeviation-Z-axis" "AverageOfBodyAngularVelocity-Frequency-Mean-X-axis" "AverageOfBodyAngularVelocity-Frequency-Mean-Y-axis" "AverageOfBodyAngularVelocity-Frequency-Mean-Z-axis" "AverageOfBodyAngularVelocity-Frequency-StandardDeviation-X-axis" "AverageOfBodyAngularVelocity-Frequency-StandardDeviation-Y-axis" "AverageOfBodyAngularVelocity-Frequency-StandardDeviation-Z-axis" "AverageOfBodyAcceleration-Frequency-Magnitude-Mean" "AverageOfBodyAcceleration-Frequency-Magnitude-StandardDeviation" "AverageOfBodyAcceleration-Frequency-JerkSignal-Magnitude-Mean" "AverageOfBodyAcceleration-Frequency-JerkSignal-Magnitude-StandardDeviation" "AverageOfBodyAngularVelocity-Frequency-Magnitude-Mean" "AverageOfBodyAngularVelocity-Frequency-Magnitude-StandardDeviation" "AverageOfBodyAngularVelocity-Frequency-JerkSignal-Magnitude-Mean" "AverageOfBodyAngularVelocity-Frequency-JerkSignal-Magnitude-StandardDeviation"
1 "LAYING" 0.345464335230769 -0.014167142358 -0.114302734246154 -0.290847548453846 -0.0777032781430769 -0.296838815784615 0.7994818048 -0.157285345507692 0.0108933316292308 -0.948868843692308 -0.944898107076923 -0.912802292615385 0.0514208347692308 -0.0872613438404615 -0.0944061498764615 -0.252403122412308 -0.181022989843077 -0.563380464769231 -0.0313821916123077 -0.0898526503615385 0.0833697577353846 -0.523864362661538 -0.200235631054615 -0.366386139183077 -0.110190443581538 0.0112593199938462 -0.0119212144410769 -0.437063842492308 -0.416496852461538 -0.473722193169231 -0.184801853499692 -0.255482620212308 -0.184801853499692 -0.255482620212308 -0.284433082616923 -0.255351046641538 -0.223010946736923 -0.269574071135385 -0.428908842569231 -0.446813729953846 -0.26421974844 -0.108966098080615 -0.395624166492308 -0.303519472387692 -0.122122392127846 -0.304797808327692 -0.288771549358462 -0.241666055543708 -0.530547775953846 -0.281448960250308 -0.171218086029231 -0.594458160769231 -0.425359019458462 -0.2309700637 -0.296497236503077 -0.557954959169231 -0.194030762367692 -0.450015056415385 -0.206164426904615 -0.403298656486154 -0.225618587706154 -0.300055302023077 -0.295533871630769 -0.385116352353846 -0.430159785969231 -0.510332294476923
1 "SITTING" 0.278120065135135 -0.0186482091864865 -0.110965331837838 -0.927183464905405 -0.887901902477027 -0.908644447648649 0.652500595081081 0.10205627 0.215581217782432 -0.994117973783784 -0.984824174459459 -0.984240177972973 0.0712101896486486 0.00830164140540541 -0.00278174072136486 -0.926356720905405 -0.912098557405405 -0.951762659324324 -0.0301725146114865 -0.0708531547121622 0.0911618841189189 -0.948789167162162 -0.900628699878378 -0.932525134175676 -0.0858011657702703 -0.0411684449594595 -0.0527020963351351 -0.941564226756757 -0.941730331216216 -0.945966031081081 -0.908803546432432 -0.918132835027027 -0.908803546432432 -0.918132835027027 -0.927503230945946 -0.925654316378378 -0.904861566310811 -0.910305729094595 -0.943250730540541 -0.943995439594595 -0.927886645905405 -0.89783922622973 -0.929887745675676 -0.927179364937838 -0.889786772554054 -0.905427307945946 -0.929202724891892 -0.91645489377027 -0.947920663918919 -0.930117561351351 -0.913335867283784 -0.954114934864865 -0.937929831891892 -0.917295539554054 -0.925015493567568 -0.952460782837838 -0.893080067372973 -0.941417845405405 -0.914944378635135 -0.932390855135135 -0.921933580059459 -0.930080373581081 -0.920593156428378 -0.919364258378378 -0.944270373108108 -0.947272756216216
1 "STANDING" 0.287634534482759 -0.0124761242532759 -0.108805052853448 -0.535151016655172 -0.341592890510345 -0.50776197882069 0.722522970827586 -0.102790172068966 0.050636194 -0.975952439137931 -0.967659094827586 -0.942622531724138 0.0782683990775862 -0.0119937329918966 0.0194876796058621 -0.487882975553448 -0.427921939068966 -0.698747387482759 -0.00499641849293103 -0.0973439790517241 0.0807874889086207 -0.663836727931034 -0.417736166537931 -0.573335180224138 -0.109767650889655 -0.03134863605 -0.0591747771724138 -0.597443569896552 -0.604035967344828 -0.640930285344828 -0.447634117025862 -0.498261928189655 -0.447634117025862 -0.498261928189655 -0.511341089603448 -0.477119644861034 -0.449389597710345 -0.471440663706897 -0.607225230172414 -0.624489076086207 -0.516413138172414 -0.377927383855172 -0.582788465 -0.544040915258621 -0.366478913982759 -0.511978089205172 -0.516546331810345 -0.469540351205172 -0.672383767810345 -0.504205211431034 -0.421717402517241 -0.723861310517241 -0.594999199172414 -0.466192448894828 -0.529890249258621 -0.687541272068966 -0.399433817258621 -0.62817032 -0.466877591982759 -0.596213579586207 -0.462974299328621 -0.499825676712069 -0.506956216456897 -0.544039130431034 -0.617495648 -0.661160216758621
1 "WALKING" 0.167953440026316 -0.0228703822017105 -0.0949678673815789 -0.333804258377632 -0.060419210725 -0.229712590522368 0.7828430535 -0.143220451986842 -0.00271262235526316 -0.909035739736842 -0.910402199447368 -0.849261363302632 0.105331301202632 0.125088611377632 0.0345900884447368 -0.315212753857895 -0.246546116626316 -0.585090180394737 0.0143674833806579 -0.115586323868421 0.0869331190125 -0.534599235947368 -0.193725550171053 -0.416715042039474 -0.0844809362596053 -0.0902425111210526 -0.0591875766210526 -0.484972686789474 -0.478654378855263 -0.516839333893421 -0.174777380931579 -0.223921690453947 -0.174777380931579 -0.223921690453947 -0.350140211328947 -0.290215121 -0.234672926289474 -0.245201847473684 -0.487497160131579 -0.496009807184211 -0.304700366960526 -0.121488666869737 -0.390740208960526 -0.348735501235526 -0.0931128850371053 -0.217651005394737 -0.345702750406711 -0.297215576825 -0.554306483947368 -0.345641993238158 -0.242542843526316 -0.614504446578947 -0.448915849280263 -0.288134732169737 -0.352477007407895 -0.564076694513158 -0.156166215464474 -0.494017821092105 -0.219191198918421 -0.357200399315789 -0.267326409813158 -0.326984222990789 -0.310688953644737 -0.337287947763158 -0.493117856009211 -0.537461461855263
1 "WALKING_DOWNSTAIRS" 0.274100047567568 -0.0163837021135135 -0.11376303627027 -0.815523055945946 -0.708781667332432 -0.764657847348649 0.773923748486486 -0.0625901088108108 0.142219206964865 -0.990504877027027 -0.982484839189189 -0.972523000540541 0.100089182351351 -0.00881463306486487 -0.00572926148418919 -0.800634872162162 -0.760922153405405 -0.877262129459459 -0.0840878237945946 -0.0380555184324324 0.0866834990540541 -0.876810247837838 -0.740927812054054 -0.837539994594595 -0.0996471641351351 -0.0331545420702703 -0.0482658422432432 -0.847723259459459 -0.845017824594595 -0.861636655675676 -0.765647500297297 -0.790299919945946 -0.765647500297297 -0.790299919945946 -0.808091978243243 -0.78581545372973 -0.759661766354054 -0.776762622432432 -0.849264902432432 -0.853081931891892 -0.814711526972973 -0.736223736324324 -0.829011634594595 -0.816653155945946 -0.713584364675676 -0.754028933945946 -0.81325779245946 -0.777649191054054 -0.868654292432432 -0.805065639189189 -0.758576642983243 -0.884367836216216 -0.847239621081081 -0.786110601027027 -0.814659689459459 -0.886581946216216 -0.721085198216216 -0.860759622162162 -0.784452301837838 -0.827215634324324 -0.780551680321622 -0.793548676621622 -0.79974333972973 -0.800440402702703 -0.850583520810811 -0.866901386756757
1 "WALKING_UPSTAIRS" 0.25869726027027 -0.0265046729275676 -0.109293899378378 -0.413299385019703 -0.167916338008108 -0.342788375732432 0.761622902702703 -0.184141072594595 0.0121083173648649 -0.959172465675676 -0.921274814864865 -0.916039469459459 0.0511171378918919 0.0629657347108108 -0.00987118114 -0.41202796672973 -0.331357281756757 -0.659669227297297 -0.017902472427027 -0.0983502001891892 0.0883451699108108 -0.605383781351351 -0.282756376097297 -0.502606406594595 -0.100329345 -0.0610172953432432 -0.0531434639567568 -0.550288866756757 -0.560109473783784 -0.580694195945946 -0.285735981756757 -0.345565244702703 -0.285735981756757 -0.345565244702703 -0.431717229027027 -0.408764711135135 -0.310885643464865 -0.374061743783784 -0.555169497027027 -0.591403224054054 -0.418275921891892 -0.246405309835135 -0.493405216486486 -0.413447495208108 -0.185546530632432 -0.325934549794595 -0.434466992648649 -0.376419875908108 -0.631712967567568 -0.441566971918919 -0.32738110112973 -0.686105435675676 -0.519634820540541 -0.389890692864865 -0.450995223675676 -0.634256275405405 -0.236045764305405 -0.566810541891892 -0.328456735548649 -0.461716698567568 -0.384899158581081 -0.445434462235135 -0.424487607405405 -0.452219948918919 -0.582489967027027 -0.633432704054054
2 "LAYING" 0.3424309958 -0.026381128754 -0.12567432972 -0.36749579506 -0.12282427714 -0.39691758374 0.6863081338 -0.1955648177 0.1169811084 -0.9404435594 -0.9410711938 -0.923296642 0.0385002009644 -0.053540543696 -0.027039834068 -0.284822960296 -0.1739058059 -0.5908049126 -0.0686206110576 -0.04021815932 0.089564940906 -0.580810048408 -0.5932515366 -0.4940989588 -0.109803573544 -0.0212680683 -0.06023192523 -0.47893595534 -0.6752983942 -0.48124676436 -0.282156503112 -0.289390301164 -0.282156503112 -0.289390301164 -0.3300968296 -0.2163077341 -0.446545949384 -0.55669626178 -0.6032018662 -0.60451644464 -0.323281715906 -0.107205395834 -0.44160314056 -0.38688968834 -0.189199557874 -0.421738090524 -0.301878700426 -0.210880908766 -0.5555122307 -0.33330777592 -0.1904540146 -0.6251140084 -0.46404256418 -0.5891814532 -0.40401471737 -0.61938110482 -0.6003457168 -0.5753067452 -0.22839783001 -0.4396138614 -0.21747299414 -0.222452162962 -0.56593905418 -0.631195392 -0.62762813782 -0.60376963852
2 "SITTING" 0.277954103023256 -0.0156038340069767 -0.10812435872093 -0.920398284046512 -0.880545964186046 -0.909714052 0.714160566976744 -0.125898336909163 0.203573336651163 -0.992382520930233 -0.986565245348837 -0.979004830465116 0.0707431386418605 0.00562381147953488 0.00687573683837209 -0.913755851627907 -0.907466815395349 -0.946584402790698 -0.00638207465116279 -0.0903956345348837 0.0801525138604651 -0.934612875116279 -0.934284128372093 -0.927094401162791 -0.101271648488372 -0.0475166149302326 -0.0462545211860465 -0.933205620930233 -0.960090823953488 -0.939665379534884 -0.903230984883721 -0.908318760697674 -0.903230984883721 -0.908318760697674 -0.920569242883721 -0.909130826976744 -0.916676524883721 -0.920673112790698 -0.951167359767442 -0.952889106744186 -0.917349268046512 -0.888545671163023 -0.922528328232558 -0.921782865976744 -0.883251661465116 -0.909414557930233 -0.914941356976744 -0.907198231488372 -0.938646888186046 -0.92051300627907 -0.91483364472093 -0.953391797906977 -0.92358754372093 -0.93974563627907 -0.921430963023256 -0.938655731395349 -0.932205437906977 -0.935944181395349 -0.904567988139535 -0.924175556046512 -0.907515570232558 -0.910511781860465 -0.934142556511628 -0.926381810232558 -0.953393312790698 -0.955321669069767
2 "STANDING" 0.2877036125 -0.01523208479 -0.11673734095 -0.691632361735 -0.56434906305 -0.66525087903 0.448509017166667 -0.0089749825 0.193007016966667 -0.964384060333333 -0.9649674045 -0.958715551833333 0.0513959722666667 -0.000875384340166667 -0.00331375330633333 -0.653084478316667 -0.633387238098333 -0.798742594333333 -0.060788203858 -0.050397889725 0.0994272337 -0.762883038666667 -0.786338577166667 -0.689967671683333 -0.0990433049833333 -0.0258740813233333 -0.0797306769466667 -0.749366014316667 -0.825366421533333 -0.746625117233333 -0.636088188316667 -0.6474764537 -0.636088188316667 -0.6474764537 -0.687651543516667 -0.626209517183333 -0.677792095328333 -0.723196874833333 -0.802096213 -0.7920980195 -0.666883613633333 -0.575022358483333 -0.708399966783333 -0.703451178783333 -0.587352114501667 -0.669115047066667 -0.656355249566667 -0.639371721328333 -0.778326005333333 -0.681783416288333 -0.653430515591667 -0.818015107 -0.7080793818 -0.77865738525 -0.667069524216667 -0.780976796333333 -0.7944835285 -0.729426615733333 -0.624024381666667 -0.716684854001667 -0.624438181 -0.630739742378333 -0.7473117725 -0.756262046333333 -0.80157711095 -0.794982186683333
2 "WALKING" 0.198500491137255 -0.0199109102756863 -0.120411847803922 -0.335751415431373 -0.0259814549607843 -0.27468472972549 0.801881949411765 -0.306343895215686 -0.0313732746078431 -0.940603868235294 -0.932243390784314 -0.894710001764706 0.144553126196078 0.0534561504588235 0.0395169401156863 -0.259581468627451 -0.127384111388235 -0.556293435294118 -0.0986298751929412 -0.0153802096078431 0.108441188586275 -0.49634389 -0.52576259 -0.358932193384314 -0.0697218507058824 -0.0740516391764706 -0.0553656045568627 -0.437030649607843 -0.632407958039216 -0.443907031323529 -0.202378160135294 -0.245124205847059 -0.202378160135294 -0.245124205847059 -0.298159417823529 -0.176960671056863 -0.338464147056863 -0.465574434117647 -0.566147290196078 -0.558575944176471 -0.277468678215686 -0.0241442827843137 -0.345106915954902 -0.360969922913725 -0.0914934537647059 -0.295705838117647 -0.258953635607843 -0.156230702592157 -0.509058785529412 -0.330561152196078 -0.157238488156863 -0.603278656078431 -0.372241478370588 -0.526130585098039 -0.318154735943137 -0.53750721772549 -0.531141789215686 -0.437042422686275 -0.170069747886275 -0.410787348666667 -0.168699038784314 -0.194194525156863 -0.491009774509804 -0.543336501803922 -0.573058348627451 -0.571573016352941
